FIELD	TYPE	DESCRIPTION
id	snowflake	id of the message
channel_id	snowflake	id of the channel the message was sent in
guild_id?	snowflake	id of the guild the message was sent in
author*	user object	the author of this message (not guaranteed to be a valid user, see below)
member?**	partial guild member object	member properties for this message's author
content	string	contents of the message
timestamp	ISO8601 timestamp	when this message was sent
edited_timestamp	?ISO8601 timestamp	when this message was edited (or null if never)
tts	boolean	whether this was a TTS message
mention_everyone	boolean	whether this message mentions everyone
mentions***	array of user objects, with an additional partial member field	users specifically mentioned in the message
mention_roles	array of role object ids	roles specifically mentioned in this message
mention_channels?****	array of channel mention objects	channels specifically mentioned in this message
attachments	array of attachment objects	any attached files
embeds	array of embed objects	any embedded content
reactions?	array of reaction objects	reactions to the message
nonce?	integer or string	used for validating a message was sent
pinned	boolean	whether this message is pinned
webhook_id?	snowflake	if the message is generated by a webhook, this is the webhook's id
type	integer	type of message
activity?	message activity object	sent with Rich Presence-related chat embeds
application?	partial application object	sent with Rich Presence-related chat embeds
application_id?	snowflake	if the message is a response to an Interaction, this is the id of the interaction's application
message_reference?	message reference object	data showing the source of a crosspost, channel follow add, pin, or reply message
flags?	integer	message flags combined as a bitfield
referenced_message?*****	?message object	the message associated with the message_reference
interaction?	message interaction object	sent if the message is a response to an Interaction
thread?	channel object	the thread that was started from this message, includes thread member object
components?	Array of message components	sent if the message contains components like buttons, action rows, or other interactive components
sticker_items?	array of message sticker item objects	sent if the message contains stickers
stickers?	array of sticker objects	Deprecated the stickers sent with the message
